People,PPV,Haversine 
1237,44,1.543522604
1238,19,5.182604361
1239,44,5.792264123
1240,40,1.962277339
1241,58,5.746480389
1242,40,4.189444836
1243,31,4.019520869
1244,44,3.282711124
1245,97,1.291903091
1246,40,2.575959172
1247,92,4.059330974
1248,40,3.030661232
1249,2,4.744513405
1250,97,1.594744264
1251,70,1.882649838
1252,0,4.424975762
1253,19,4.132921355
1254,44,3.421833531
1255,70,1.939381393
1256,0,6.011773187
1257,40,2.336918085
1258,0,4.516126971
1259,44,5.194522151
1260,58,5.267792106
1261,92,2.276997117
1262,58,0.821686474
1263,0,5.012087063
1264,19,2.775443227
1265,0,2.73117364
1266,40,0.284550916
1267,70,5.585094541
1268,71,2.421810659
1269,0,3.897558056
1270,70,4.528293069
1271,40,1.877920804
1272,31,7.180262943
1273,71,1.251454975
1274,39,2.714295956
1275,2,1.542890656
1276,0,5.562506464
1277,40,3.510459205
1278,0,5.583200306
1279,0,1.105823417
1280,44,7.573056569
1281,97,1.395320041
1282,44,3.608531353
1283,70,1.983070203
1284,40,3.882466222
1285,58,1.125886763
1286,5,0.690723773
1287,2,2.971708161
1288,31,2.670225198
1289,0,1.309645805
1290,0,2.580470926
1291,44,2.427088516
1292,0,6.789677171
1293,58,5.946084432
1294,97,3.715115085
1295,58,2.849559707
1296,0,7.686055821
1297,40,2.902943213
1298,31,3.293408225
1299,19,1.898836991
1300,0,0.89438679
1301,44,8.540126093
1302,39,2.59203153
1303,97,5.236177392
1304,44,4.552489398
1305,19,1.086479446
1306,0,2.881084025
1307,40,1.985969629
1308,31,5.819304988
1309,19,3.414603293
1310,19,1.753494854
1311,0,2.858049589
1312,40,2.765991082
1313,19,1.129517069
1314,39,1.828419418
1315,0,3.426161134
1316,58,4.144044959
1317,0,4.547571473
1318,44,3.454740413
1319,44,6.468695249
1320,40,0.812784038
1321,58,1.395591031
1322,19,2.780583682
1323,92,1.689123132
1324,40,2.685835731
1325,39,2.433416339
1326,19,3.417440123
1327,44,7.585828237
1328,19,5.846285726
1329,40,2.551316085
1330,70,1.961419733
1331,0,3.956730047
1332,58,6.768780927
1333,40,7.514147713
1334,44,5.903071221
1335,40,3.442456904
1336,71,1.564607862
1337,44,3.797015144
1338,19,1.238503648
1339,0,5.139704433
1340,40,2.104394828
1341,44,3.318017201
1342,58,1.474223283
1343,58,6.883517004
1344,19,1.912075826
1345,5,2.958544238
1346,44,7.658354041
1347,31,1.880059306
1348,0,4.465872464
1349,44,1.51601553
1350,15,2.080054707
1351,40,2.547075722
1352,40,2.617928017
1353,40,2.341007748
1354,40,3.909102256
1355,0,4.952858142
1356,31,4.500057998
1357,71,2.976861857
1358,58,0.911375786
